Number of planted biclusters: 52
Bicluster coverage: 12.922558922558922%
Missing values on dataset: 0.0%
Noise values on dataset: 2.5016835016835017%
Errors on dataset: 0.7037037037037037%


Bicluster #0 (75, 4)
Rows=[12,25,34,52,59,71,74,83,88,91,92,96,106,112,116,122,125,132,133,138,169,211,214,215,224,236,240,245,247,253,259,260,271,283,291,295,299,305,328,333,338,346,357,359,388,400,413,414,417,422,431,432,448,450,460,466,476,492,506,507,510,513,534,573,577,578,579,593,594,602,611,618,626,628,645], Columns=[43,73,77,142], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=6.67, %Errors=6, PlaidCoherency=Additive

X	y43	y73	y77	y142
x610	1.18	-0.37	6.65	-8.67
x620	1.18	-0.37	6.65	-68.5
x621	1.18	-0.37	6.65	-8.67
x639	1.18	-0.37	6.65	-8.67
x649	1.18	-0.37	6.65	-8.67

Bicluster #2 (71, 4)
Rows=[1,5,11,12,18,19,20,25,26,32,36,40,43,47,50,56,67,73,81,99,102,113,114,136,153,155,162,168,170,190,193,200,226,231,237,249,252,256,275,276,288,292,307,308,314,324,331,336,337,353,366,373,383,391,423,428,430,446,449,452,501,536,553,569,574,599,600,624,638,648,654], Columns=[35,59,104,129], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=5.63, %Errors=7.04, PlaidCoherency=Additive

X	y35	y59	y104	y129
x1	27.99	-32.74	-2.42	-4.97
x5	27.99	-68.85	95.22	97.32
x11	27.99	-32.74	-2.42	-4.97
x12	27.99	-32.74	-2.42	-4.97
x18	27.99	-32.74	-2.42	95.27
x19	27.99	66.62	-2.42	-4.97
x20	-53.68	-32.74	98.67	-4.97
x25	27.99	-32.74	-2.42	-4.97
x26	27.99	-32.74	-2.42	-4.97
x32	27.99	-100	-2.42	-4.97
x36	27.99	-32.74	-2.42	46.32
x40	27.99	-32.74	-2.42	-4.97
x43	27.99	-32.74	-2.42	-4.97
x47	27.99	-32.74	-2.42	-4.97
x50	-32.49	-32.74	-2.42	-4.97
x56	27.99	-32.74	-2.42	-4.97
x67	27.99	-32.74	-43.05	-4.97
x73	27.99	63.89	-2.42	94.29
x81	27.99	-32.74	-2.42	89.21
x99	27.99	-32.74	-2.42	-4.97
x102	27.99	-32.74	-2.42	-4.97
x113	27.99	-32.74	-2.42	-4.97
x114	50.87	-32.74	-2.42	-4.97
x136	27.99	-32.74	-2.42	-4.97
x153	27.99	-32.74	99.08	-4.97
x155	27.99	-32.74	-2.42	-4.97
x162	27.99	-32.74	-2.42	-4.97
x168	27.99	-32.74	-2.42	-4.97
x170	27.99	-32.74	-2.42	-4.97
x190	27.99	-32.74	-2.42	-4.97
x193	-63.02	-36.05	-2.42	-4.97
x200	27.99	-32.74	-2.42	-4.97
x226	27.99	-32.74	96.85	-4.97
x231	27.99	-32.74	-2.42	-4.97
x237	27.99	-32.74	-52.96	87.59
x249	27.99	-32.74	-2.42	-4.97
x252	27.99	-32.74	-2.42	-4.97
x256	27.99	-32.74	-2.42	-4.97
x275	27.99	-32.74	-96.22	-4.97
x276	27.99	-32.74	-2.42	-4.97
x288	27.99	-68.02	98.11	-4.97
x292	27.99	65.73	89.4	-4.97
x307	27.99	-32.74	-2.42	-4.97
x308	-2.7	-32.74	-2.42	-4.97
x314	27.99	-32.74	-2.42	-4.97
x324	27.99	-32.74	-2.42	-4.97
x331	27.99	-32.74	-2.42	43.08
x336	27.99	-32.74	-2.42	-4.97
x337	27.99	-32.74	-2.42	-4.97
x353	27.99	89.18	-33.29	-4.97
x366	27.99	-32.74	96.14	-4.97
x373	27.99	-32.74	-2.42	-4.97
x383	27.99	-32.74	-2.42	-4.97
x391	27.99	-32.74	-2.42	-4.97
x423	27.99	-32.74	-2.42	-4.97
x428	27.99	-32.74	-2.42	-4.97
x430	27.99	-32.74	-2.42	-4.97
x446	27.99	-32.74	-2.42	-4.97
x449	27.99	-32.74	-2.42	-4.97
x452	-69.03	-32.74	-2.42	-4.97
x501	27.99	-32.74	-2.42	-4.97
x536	27.99	-32.74	-2.42	-4.97
x553	53.02	-32.74	-2.42	-4.97
x569	27.99	-32.74	-2.42	-4.97
x574	27.99	78.58	-2.42	-4.97
x599	100	-32.74	-2.42	-4.97
x600	27.99	-32.74	-2.42	-4.97
x624	27.99	-32.74	-2.42	-4.97
x638	27.99	-32.74	-80.95	-4.97
x648	27.99	-32.74	-2.42	-4.97
x654	27.99	-32.74	-2.42	-4.97

Bicluster #3 (71, 4)
Rows=[0,1,5,8,11,12,17,18,19,20,22,28,33,39,51,55,84,86,90,100,123,127,135,145,158,161,163,172,179,188,204,208,232,233,257,258,263,268,270,279,302,311,317,320,345,350,369,376,382,393,406,419,435,440,456,483,487,489,499,530,540,541,560,562,581,584,607,629,634,644,647], Columns=[9,100,127,145], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=7.39, %Errors=9.15, PlaidCoherency=Additive

X	y9	y100	y127	y145
x0	-34.2	-22.03	30.53	3.42
x1	-34.2	-22.03	30.53	3.42
x5	-34.2	-22.03	30.53	3.42
x8	-34.2	-22.03	30.53	3.42
x11	-34.2	6.02	30.53	-90.33
x12	-34.2	-22.03	51.81	3.42
x17	-34.2	-10.94	-76.22	-90.95
x18	-34.2	92.18	30.53	3.42
x19	-34.2	-22.03	30.53	-99.96
x20	67.72	-22.03	30.53	3.42
x22	36.11	-22.03	30.53	3.42
x28	-73.39	-22.03	30.53	3.42
x33	-34.2	-22.03	-76.51	3.42
x39	-34.2	-22.03	30.53	3.42
x51	-34.2	-22.03	30.53	3.42
x55	-34.2	-22.03	30.53	46.15
x84	-34.2	-22.03	-35.54	3.42
x86	-34.2	-22.03	30.53	3.42
x90	59.26	-22.03	30.53	3.42
x100	-34.2	-22.03	30.53	3.42
x123	-34.2	-22.03	30.53	3.42
x127	-34.2	-22.03	4.41	3.42
x135	56.57	-22.03	30.53	3.42
x145	-34.2	-22.03	30.53	3.42
x158	-34.2	-22.03	30.53	3.42
x161	-8.28	-22.03	30.53	3.42
x163	66.12	-22.03	30.53	3.42
x172	-34.2	-22.03	30.53	3.42
x179	-34.2	-22.03	30.53	3.42
x188	-34.2	-22.03	30.53	3.42
x204	-34.2	-22.03	-97.13	3.42
x208	-34.2	-22.03	30.53	3.42
x232	86.65	96.77	30.53	3.42
x233	95.3	-22.03	-74.54	3.42
x257	-34.2	-22.03	30.53	3.42
x258	-34.2	-22.03	30.53	3.42
x263	-34.2	95.31	30.53	3.42
x268	-34.2	-22.03	30.53	-90.74
x270	-34.2	-22.03	30.53	3.42
x279	-34.2	-22.03	30.53	3.42
x302	-34.2	-22.03	30.53	3.42
x311	-34.2	-22.03	30.53	3.42
x317	-34.2	-22.03	30.53	3.42
x320	-34.2	-22.03	30.53	3.42
x345	-34.2	-22.03	30.53	3.42
x350	-34.2	-22.03	30.53	3.42
x369	-34.2	-22.03	-81.82	94.07
x376	-34.2	-22.03	30.53	-57.97
x382	-34.2	16.02	94.83	3.42
x393	-34.2	-22.03	30.53	3.42
x406	-34.2	45.03	30.53	3.42
x419	-34.2	-22.03	30.53	3.42
x435	-34.2	-22.03	30.53	3.42
x440	-34.2	-22.03	30.53	3.42
x456	-34.2	15.56	30.53	3.42
x483	-34.2	-22.03	-77.02	3.42
x487	-34.2	-22.03	30.53	6.71
x489	-34.2	-22.03	-83.84	3.42
x499	-34.2	-22.03	30.53	3.42
x530	21.12	-89.55	30.53	3.42
x540	-34.2	-22.03	30.53	3.42
x541	-34.2	-22.03	30.53	3.42
x560	-34.2	-22.03	-72.98	3.42
x562	-51.34	-22.03	30.53	3.42
x581	43.6	-22.03	30.53	9.11
x584	61.41	-22.03	30.53	3.42
x607	-34.2	99.73	30.53	3.42
x629	-34.2	9.44	30.53	3.42
x634	-34.2	76.4	30.53	3.42
x644	-34.2	-22.03	30.53	3.42
x647	-34.2	-22.03	-97.45	3.42

Bicluster #4 (74, 4)
Rows=[0,1,4,5,8,11,12,17,23,42,44,48,53,80,82,120,128,131,147,148,150,151,159,176,191,192,195,205,213,225,229,273,278,285,293,316,318,323,334,340,352,377,379,395,396,401,405,408,420,421,442,457,458,461,467,472,491,502,503,515,535,548,551,561,563,571,580,591,597,598,606,615,617,656], Columns=[18,53,60,139], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=36.49, %Errors=4.73, PlaidCoherency=Additive

X	y18	y53	y60	y139
x0	-21.43	-100	-2.21	-89.8
x1	41.6	-47.93	42.53	-89.8
x4	-6.88	-95.06	42.53	-89.8
x5	-6.88	-95.06	18.05	-100
x8	87.88	-100	42.53	-41.83
x11	-6.88	-95.06	42.53	-47.04
x12	-6.88	-95.06	42.53	-89.8
x17	89.86	-95.06	42.53	-89.8
x23	-6.88	-100	51.82	-89.8
x42	48.67	-17.91	42.53	-100
x44	-6.88	-100	-93.52	-89.8
x48	-56.04	-95.06	87.37	-89.8
x53	-6.88	-96.66	42.53	-89.8
x80	48.79	-95.06	42.53	6.11
x82	17.68	78.73	42.53	-89.8
x120	-6.88	-95.06	42.53	-89.8
x128	-6.88	-100	42.53	-89.8
x131	62.78	-95.06	-48.79	-100
x147	-6.88	-95.06	42.53	24.96
x148	34.53	94.36	42.53	-100
x150	-27.55	-95.06	42.53	-46.64
x151	-6.88	-95.06	42.53	-89.8
x159	-6.88	-95.06	42.53	-89.8
x176	35.99	-95.06	-25.83	-100
x191	27.7	-95.06	89.51	-100
x192	-42.89	-95.06	42.53	-17.18
x195	52.92	-95.06	42.53	-93.43
x205	-6.88	-95.06	42.53	-89.8
x213	-6.88	-100	-0.48	-89.8
x225	47.38	-100	42.53	-100
x229	-6.88	-95.06	42.53	-89.8
x273	-6.88	-95.06	42.53	-100
x278	-38.19	-95.06	100	-89.8
x285	-6.88	-95.06	42.53	-89.8
x293	-6.88	-10.27	95.77	-89.8
x316	-6.88	-95.06	42.53	-32.08
x318	-30.88	-95.06	42.53	-89.8
x323	-6.88	-95.06	-25.25	-89.8
x334	-6.88	-95.06	-2.92	-89.8
x340	-6.88	-28.19	42.53	-89.8
x352	40.9	-100	42.53	-100
x377	39.96	-49.69	42.53	-89.8
x379	-7.45	-95.06	42.53	-89.8
x395	49.76	-100	64.16	-73.33
x396	-89.23	-95.06	42.53	-89.8
x401	-58.63	-95.06	42.53	-89.8
x405	-6.88	29.52	42.53	-25.87
x408	38.93	-39.16	-0.46	-89.8
x420	-6.88	-95.06	42.53	-100
x421	-7.5	-95.06	42.53	-89.08
x442	-6.88	-100	10.84	-100
x457	-6.88	-100	42.53	-89.8
x458	-6.88	-17.65	42.53	-47.49
x461	-6.88	-95.06	22.48	-89.8
x467	-6.88	-67.6	42.53	-89.8
x472	23.65	-95.06	42.53	-89.8
x491	-91.6	-95.06	90.38	-21.82
x502	94.27	-95.06	42.53	26.23
x503	-6.88	-95.06	42.53	-47.18
x515	-6.88	-95.06	1.53	-89.8
x535	-6.88	-74.91	42.53	-89.8
x548	-6.88	-100	42.53	-89.8
x551	-6.88	-36.34	42.53	-100
x561	33.63	-100	42.53	66.55
x563	-6.88	-91.65	42.53	-89.8
x571	-6.88	-95.06	49.34	-100
x580	94.93	-95.06	42.53	-78.08
x591	72.15	-13.81	89.33	-89.8
x597	-6.88	-100	42.53	-100
x598	-6.88	-95.06	42.53	-89.8
x606	-6.88	-95.06	-90.42	-100
x615	23.27	-95.06	42.53	-100
x617	-6.88	-95.06	42.53	-100
x656	-66.54	-68.4	42.53	-45.97

Bicluster #5 (70, 4)
Rows=[7,25,27,41,49,64,67,75,85,88,91,105,111,113,121,132,135,161,170,191,198,199,205,206,222,230,237,247,265,268,280,286,291,306,308,310,311,313,319,327,328,332,334,343,349,350,354,356,359,369,374,385,390,391,413,422,428,435,440,463,468,483,488,509,520,526,564,588,601,613], Columns=[2,22,101,103], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=5.36, %Errors=3.93, PlaidCoherency=Additive

X	y2	y22	y101	y103
x7	95.27	84.38	-29.23	-19.65
x25	95.27	84.38	85.03	-19.65
x27	95.27	84.38	-29.23	-19.65
x41	95.27	5.41	-29.23	-19.65
x49	95.27	22.65	-29.23	-19.65
x64	95.27	84.38	-29.23	-19.65
x67	95.27	84.38	-29.23	-19.65
x75	95.27	84.38	-29.23	-19.65
x85	95.27	84.38	-29.23	-19.65
x88	-39.1	84.38	-48.27	-19.65
x91	95.27	84.38	-29.23	-19.65
x105	95.27	84.38	-29.23	-19.65
x111	95.27	84.38	-29.23	-19.65
x113	95.27	84.38	-29.23	-19.65
x121	95.27	84.38	-29.23	-19.65
x132	95.27	84.38	-29.23	-19.65
x135	95.27	84.38	7.89	-19.65
x161	95.27	84.38	-29.23	-19.65
x170	95.27	84.38	-29.23	-19.65
x191	95.27	84.38	-29.23	-19.65
x198	95.27	84.38	-29.23	-19.65
x199	95.27	84.38	-29.23	-19.65
x205	95.27	-72.82	65.92	-19.65
x206	100	84.38	-29.23	-19.65
x222	95.27	84.38	-29.23	-19.65
x230	95.27	84.38	-29.23	76.48
x237	95.27	84.38	-29.23	-19.65
x247	95.27	84.38	-29.23	-19.65
x265	95.27	84.38	-29.23	-19.65
x268	95.27	84.38	-29.23	-19.65
x280	95.27	100	-29.23	-19.65
x286	95.27	84.38	-29.23	-19.65
x291	95.27	-31.56	-29.23	-19.65
x306	95.27	84.38	-29.23	-19.65
x308	95.27	84.38	-29.23	-19.65
x310	95.27	84.38	-29.23	-19.65
x311	95.27	84.38	-29.23	-19.65
x313	95.27	84.38	-29.23	-19.65
x319	95.27	84.38	-29.23	-19.65
x327	95.27	84.38	-29.23	-19.65
x328	100	-67.39	-29.23	-19.65
x332	95.27	84.38	-29.23	61.49
x334	95.27	84.38	-29.23	-19.65
x343	95.27	84.38	-29.23	-19.65
x349	95.27	68.59	98.37	-19.65
x350	95.27	84.38	-29.23	-19.65
x354	-65.28	84.38	-29.23	-19.65
x356	95.27	84.38	-29.23	-19.65
x359	95.27	84.38	-29.23	-19.65
x369	95.27	84.38	-29.23	-19.65
x374	95.27	84.38	-29.23	-19.65
x385	44.88	84.38	-29.23	-19.65
x390	19.29	84.38	-29.23	-19.65
x391	95.27	84.38	-29.23	-19.65
x413	95.27	84.38	-29.23	-19.65
x422	95.27	84.38	-29.23	-19.65
x428	95.27	84.38	-29.23	-19.65
x435	95.27	84.38	-29.23	-19.65
x440	95.27	84.38	-29.23	-19.65
x463	95.27	84.38	-29.23	-19.65
x468	95.27	76.01	-29.23	-19.65
x483	95.27	84.38	-29.23	-19.65
x488	95.27	84.38	-29.23	-19.65
x509	95.27	84.38	-29.23	-19.65
x520	95.27	84.38	-29.23	-19.65
x526	100	84.38	-29.23	-19.65
x564	95.27	84.38	-29.23	-83.11
x588	95.27	-40.99	77.16	-19.65
x601	95.27	84.38	35.72	-19.65
x613	95.27	84.38	-29.23	-19.65

Bicluster #6 (76, 4)
Rows=[11,31,37,40,44,49,50,55,60,72,87,90,92,96,112,114,122,134,143,147,149,173,175,179,185,198,200,207,218,226,233,258,262,275,297,298,300,320,325,331,333,345,356,357,372,391,393,396,397,398,410,412,416,426,437,449,450,462,465,473,487,499,504,507,510,513,517,532,542,553,555,565,568,583,590,629], Columns=[3,27,111,141], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=34.21, %Errors=9.54, PlaidCoherency=Additive

X	y3	y27	y111	y141
x11	-38.99	-92.98	34.31	36.9
x31	-43.91	-92.98	68.54	-81.71
x37	52.49	-92.98	95.93	36.9
x40	-43.91	-92.98	53.67	85.18
x44	-43.91	35.46	53.67	-94.55
x49	67.41	-92.98	53.67	36.9
x50	-43.91	-17.22	-39.28	-56.65
x55	-43.91	-92.98	53.67	36.9
x60	-43.91	-92.98	-13.09	-58.85
x72	37.3	-100	53.67	34.87
x87	-43.91	-100	-95.71	36.9
x90	-43.91	-96.32	53.67	36.9
x92	-96.32	-92.98	53.67	55.96
x96	-100	-92.98	53.67	100
x112	-43.91	-100	54.09	36.9
x114	-72.34	-92.98	53.67	57.1
x122	66.43	-92.98	49.02	23.92
x134	-43.91	-92.98	41.4	100
x143	-43.91	-100	53.67	-59.26
x147	-30.24	-92.98	-12.78	-78.2
x149	-10.36	-92.98	16.4	36.9
x173	-43.91	-92.98	-38.6	-35.77
x175	92.34	-91.65	100	36.9
x179	-100	-100	53.67	90.55
x185	-41.56	-92.98	53.67	36.9
x198	-43.91	-92.98	100	36.9
x200	-43.91	-92.98	86.16	70.75
x207	-43.91	-92.98	53.67	36.9
x218	70.72	-92.98	53.67	36.9
x226	-100	-92.98	-49.11	36.9
x233	-24.22	-92.98	53.67	32.57
x258	-43.91	-100	53.67	36.9
x262	-43.91	-83.85	27.96	36.9
x275	-43.91	-92.98	100	36.9
x297	-43.91	-92.98	39.79	36.9
x298	-100	-7.6	-31.5	36.9
x300	-71.99	44.61	-0.57	36.9
x320	-43.91	-92.98	53.67	36.9
x325	-43.91	-92.98	53.67	36.9
x331	70.88	-92.98	14.48	36.9
x333	-32.24	-24.03	81.9	36.9
x345	-43.91	64.06	53.67	36.9
x356	-100	-100	53.67	27.91
x357	75.2	-67.63	53.67	36.9
x372	-47.51	75.48	53.67	36.9
x391	-12.46	-92.98	52.74	36.9
x393	-43.91	-69.26	100	-80.3
x396	-43.91	-90.27	53.67	36.9
x397	15.56	-92.98	53.67	36.9
x398	-43.91	-92.98	53.67	36.9
x410	-21.96	-92.98	53.67	36.9
x412	-43.91	-100	53.67	22.66
x416	-43.91	-100	53.67	36.9
x426	-43.91	-92.98	53.67	36.9
x437	-43.91	17.93	53.67	36.9
x449	-100	-87.58	53.67	36.9
x450	-79.51	-92.98	8.71	36.9
x462	-94.09	-95.2	40.92	-24.7
x465	-43.91	-98.14	76.63	36.9
x473	-43.91	-92.98	-75.04	36.9
x487	-100	-100	53.67	36.9
x499	-65.46	-92.98	94.23	36.9
x504	33.73	-92.98	53.67	100
x507	-43.91	-92.98	53.67	-53.49
x510	-43.91	-60.86	53.67	36.9
x513	-100	-92.98	82.58	36.9
x517	-69.65	-92.98	30.71	36.9
x532	-43.91	-92.98	-93.64	36.9
x542	-43.91	-92.98	53.67	36.9
x553	-43.91	-56.59	53.67	35.17
x555	-75.58	-100	53.67	36.9
x565	55.24	-100	39.75	34.53
x568	30.4	-92.98	53.67	-64.77
x583	-43.91	-92.98	-27.59	36.9
x590	-43.91	-92.98	-60.39	100
x629	-67.54	-100	53.67	36.9

Bicluster #7 (80, 4)
Rows=[1,16,17,27,36,37,54,60,63,64,66,78,79,119,121,124,131,134,136,144,152,154,174,179,189,197,200,203,205,207,209,233,236,237,240,242,264,277,283,290,299,300,312,333,336,344,356,359,363,365,368,369,374,411,419,422,447,477,481,508,529,543,558,574,579,582,584,587,590,591,596,612,613,614,617,618,626,631,640,642], Columns=[54,94,115,160], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=23.44, %Errors=5.62, PlaidCoherency=Additive

X	y54	y94	y115	y160
x1	23.5	50.56	-64.06	52.45
x16	-62.02	50.56	-64.06	52.45
x17	-24.04	50.56	-64.06	52.45
x27	-62.02	50.56	-64.06	-24.1
x36	-62.02	50.56	-64.06	52.45
x37	-72.69	-20.42	-10.3	52.45
x54	-12.74	50.56	-47.24	52.45
x60	4.65	100	-64.06	52.45
x63	-62.02	100	-100	52.45
x64	-100	50.56	-64.06	52.45
x66	-62.02	50.56	-64.06	-26.16
x78	-62.02	-92.99	-64.06	52.45
x79	-62.02	50.56	-100	52.45
x119	-46.58	50.56	-64.06	52.45
x121	56.01	50.56	-64.06	52.45
x124	-100	50.56	-85.16	52.45
x131	-100	50.56	-64.06	53.38
x134	55.59	50.56	-64.06	52.45
x136	-62.02	50.56	-64.06	52.45
x144	-62.02	50.56	-64.06	52.45
x152	-62.02	50.56	-64.06	96.96
x154	-62.02	50.56	-100	52.45
x174	-62.02	50.56	-64.06	-53.29
x179	17.12	50.56	-21.53	100
x189	-62.02	34.09	-100	52.45
x197	89.86	50.56	-64.06	99.22
x200	-62.02	50.56	5.69	57.72
x203	-100	100	-64.06	52.45
x205	-62.02	50.56	-64.06	100
x207	-62.02	50.56	97.46	52.45
x209	-62.02	50.56	-20.91	52.45
x233	-62.02	50.56	-64.06	52.45
x236	-62.02	50.56	-88.16	-86.66
x237	-89.52	89.47	-64.06	52.45
x240	-62.02	50.56	-64.06	52.45
x242	-62.02	15.82	-64.06	52.45
x264	-62.02	50.56	-64.06	-62
x277	-100	50.56	-64.06	52.45
x283	-100	50.56	-100	52.45
x290	-62.02	8.36	12.46	52.45
x299	-28.39	50.56	-64.06	52.45
x300	67	50.56	-64.06	52.45
x312	-62.02	50.56	-64.06	11.83
x333	-62.02	50.56	-64.06	30.12
x336	-97.97	50.56	-17.4	52.45
x344	-62.02	10.45	64.49	52.45
