X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99	y100	y101	y102	y103	y104	y105	y106	y107	y108	y109	y110	y111	y112	y113	y114	y115	y116	y117	y118	y119	y120	y121	y122	y123	y124	y125	y126	y127	y128	y129	y130	y131	y132	y133	y134	y135	y136	y137	y138	y139	y140	y141	y142	y143	y144	y145	y146	y147	y148	y149	y150	y151	y152	y153	y154	y155	y156	y157	y158	y159	y160	y161	y162	y163	y164	y165	y166	y167	y168	y169	y170	y171	y172	y173	y174	y175	y176	y177	y178	y179
x71	50.97	-21.21	-1.75	-24.72	-40.03	-8.22	-13.17	45.87	-50.33	74.17	35.22	12.57	22.35	-69.86	-83.9	-15.66	4.05	62.67	-14.73	28.96	-38.69	54.59	-35.56	-1.71	-2.03	-68.74	-100	-7.17	-57.39	51.37	15.59	0.73	-37.21	-23.9	100	1.98	44.33	35.16	10.32	-30.04	23.28	84.15	-19.26	8.04	-10.84	-10.31	-26.67	-35.19	33.46	18.43	-30.77	0.21	73.22	-36.68	-14.78	2.19	97.54	-57.11	-31.62	-2.31	12.89	8.36	-4.7	-25.82	41.17	-63.89	-30.05	-12.83	-37.71	25.05	1.42	-14.43	16.77	-5.95	91.58	12.64	-91.66	-11.54	-51.71	-12.05	19.64	-22.7	-16.35	45.15	33.22	-3.51	8.6	43.69	-90.89	12.97	-27.35	68.31	-6.29	2.49	-21.14	70.06	26.89	25.31	-42.25	-63.59	50.93	18.94	60.89	17.67	34.71	-86.71	-31.21	-40.36	59.34	66.72	8.21	97.5	28.21	-22.82	-22.63	-30.99	-73.81	60.05	36.68	56.25	21.47	-42.54	42.82	-64.16	0.64	-16.76	29.36	4.27	-99.29	-19.22	-19.07	19.43	55.47	21.88	-8.91	-88	27.21	29.69	36.9	34.45	82.67	52.54	0.87	73.4	-40.93	-66.82	-100	23.76	-11.85	10.23	77.29	2.81	-23.08	52.09	-26.94	-65.9	-10.26	-68.64	26.76	-10.68	-12.24	53.75	-16.91	47.72	47.87	-100	67.26	67.17	31.1	3.75	-20.7	-2.15	-84.75	-15.05	-48.24	-50.44	35.01	73.38	16.24	21.89
x72	-22.41	-18.06	-12.3	37.3	28.1	44.04	-30.45	-67.27	-70.08	-16.3	-14.74	9.86	-61.58	20.26	-15.18	46.44	-36.08	1.42	18.09	-4.35	8.6	-34.67	34.83	10.25	-1.01	-30.04	40.67	-100	28.45	21.75	6.88	5.64	-26.49	-75.68	24.29	-90.03	11.34	-50.39	40.22	8.41	-50.89	7.46	-11.39	-37.99	-44.27	20.64	26.8	-11.99	47.48	-25.02	100	-72.81	46.89	-51.9	-30.54	-30	9.71	53.14	13.15	10.14	-46.83	50.62	-5.35	-11.24	31.69	33.85	4.06	-23.4	-0.23	29.24	46.83	55.23	-16.9	6.75	9.22	-13.84	7.57	-93.94	7.38	-100	-10.4	-32.06	-31.74	54.76	30.36	6.11	83.59	49.28	18.35	43.21	0.74	-3.69	57.82	12.92	12.6	36.85	10.96	-11.11	23.56	47.62	-24.37	-91.29	-47.84	-0.91	-42.9	-30.68	70.64	-80.8	-0.79	-17.96	38.53	53.67	-46.54	-23.41	26.28	-82.64	31.46	17.4	11.06	-11.37	27.26	92.29	20.95	-73.71	-1.52	32.73	-21.65	100	-50	-36.3	11.65	56.17	19.53	-33.51	-20.13	50.12	-29.82	53.57	-8.95	-5	-56.86	34.87	-9.38	-35.85	-48.5	-58.87	-9.46	-28.83	-41.36	-30.76	17.66	3.45	-3.64	-34.88	-2.12	27.47	-53.64	-10.68	-83.5	-86.25	-26.36	10.32	-40.74	-8.7	27.45	37	32.52	48.56	-40.19	-31.05	-31.39	35.23	-26.67	-56.43	-72.88	54.96	62.65	-13.67	-30.2	-15.66
x73	30.56	-6.08	-92.38	65.62	-19.67	3.07	-34.16	-1.82	22.51	8.88	-40.77	-85.55	26.22	62.75	47.7	-37.38	29.45	58.73	44.13	24.84	-5.44	-1.92	16.65	42.52	100	2.89	-8.88	-3.98	42.38	18.47	-35.94	-4.72	37.1	-55.36	-14.91	27.99	-42.11	1.15	13.53	-0.89	2.93	-10.67	53.86	34.01	22.79	70.55	-7.82	-45.53	-62.5	-76.5	38.13	35.43	28.87	-40.41	19.45	-31.53	-48.06	-47.04	51.79	63.89	-15.36	-67.25	-9.92	-29	-38.57	21.92	37.05	-58.7	-22.7	47.71	27.6	1.62	-17.09	-84.27	-33.9	-9.24	-69.96	-29.36	35.9	21.76	-2.32	-60.45	88.64	-37.99	-43.38	-14.69	-29.37	-13.42	-96.37	12.6	-5.04	-96	46.94	2.49	-0.57	52.64	-68.72	-20.5	-43.78	-70.67	-68.04	-24.9	99.97	-23.62	-2.42	35.84	52.91	23.07	-30.14	-45.82	-24.58	72.11	12.17	2.6	62.66	14.42	-1.81	17.21	-15.54	26.09	28.94	2.16	-61.38	-32.52	-17.51	9.9	87.27	-32.79	-86.85	94.29	-28.68	59.4	13.17	-2.53	58.13	-4.55	14.93	29	57.11	46.69	-92.05	-84.79	36.8	67.55	-51.64	12.26	7.68	66.9	12.71	56.66	7.12	-76.67	-100	10.47	-24.32	9.73	17.06	-31.85	-6.21	3.84	6.65	36.43	3.08	5.84	0.37	-85.74	73.57	-8.96	-4.62	-70.84	-63.78	-3.62	13.9	-20.63	-16.41	-46.6	50.4	84.99	26.84	-25.9
x74	-18.32	14.25	57.44	-33.52	2.39	17.45	-89.36	-11.58	-46	25.07	-68.16	-0.23	-41.32	18.14	-31.34	-21.21	-24.04	13.42	-30.07	-24.76	27.37	-17.93	50.31	88.79	41.4	86.75	-8.34	-27.12	37.23	-1.06	-64.37	13.05	-31.12	9.46	-12.72	-31.72	11.1	65.84	46.59	-13.03	5.78	2.34	-89.93	8.04	34.84	-41.55	-32.57	10.64	-60.43	-16.75	11.13	-30.78	-47.21	-30.56	13.01	54.52	25.28	71.03	-12.61	38.26	30.19	23.84	-39.13	-87.79	68.99	-6.76	-65.45	-30.47	-64.82	7.2	28.15	40.08	-68.11	94.58	-24.7	-19.01	45.75	-11.54	-75.01	8.6	75.85	54.12	-99.18	4.68	26.99	76.92	-32.8	-28.97	46.58	8.08	5.37	-26.16	-6.47	-100	-12.12	3.52	30.51	21.49	23.48	95.94	-35.8	-7.88	54.08	100	20.69	36.62	26.76	-35.25	98.32	29.27	-6.73	-15.6	-38.47	-30.5	-19.42	-64.73	-10.93	66.64	33.36	26.47	17.08	73.85	-48.02	100	-6.93	25.44	-14.22	20.75	-35.58	17.25	13.07	42.74	19.17	66.53	12.24	32.34	31.1	-2.44	-37.09	9.54	-6.91	-20.66	0.87	-31.37	12.17	18.13	-43.49	-2.91	-54.35	-31.34	10.91	-47.78	-48.77	-56.33	63.6	-23.45	3.9	25.44	-2.93	5.15	-31.88	2.95	8.77	-15.04	20.62	-24.78	97.58	-52.94	53.95	-5.55	3.44	-22.88	-25.87	-38.13	-21.56	59.23	-33.69	20.12	-65.78	6.95
x75	100	15.4	95.27	-25.67	-82.86	-46.99	3.19	-37.99	54.3	23.48	-11.11	4.74	13.5	58.61	-46	54.04	-32.17	-51.56	54.8	-30.82	100	-54.81	84.38	100	-6.08	-37.36	-27.78	-45.05	-54.34	-35.36	-45.55	43.68	-37.21	36.19	11.94	37	16.49	-42.67	-43.54	-32.43	75.31	-9.91	-29.85	43.2	13.9	-54.72	-27.09	8.22	33.56	-32.67	56.77	-13.18	-75.7	5.76	90.15	-72.08	15.95	1.4	-42.6	3.98	-68.73	-39.44	-40.17	7.42	-16	22.36	-62.41	-13.2	22.54	4.2	33.53	24.14	5.91	-75.29	-5.59	16.07	-7.79	59.06	76.17	83.66	6.55	-21.65	14.15	-25.58	-35.36	32.33	-57.02	-24.4	4.18	16.19	-0.22	8.57	-93.54	6.91	-24.1	-2.38	24.09	-29.64	19.75	-19.35	-57.98	-29.23	33.3	-19.65	-33.17	-40.43	63.38	84.53	-3.89	6.34	37.67	28.04	18	-68.07	-56.99	82.67	-38.71	25.87	22.3	-22.75	14.04	-16.48	13.87	27.28	0.64	-9.67	2.67	-57.31	4.6	36.93	-28	-24.93	-19.3	-49.69	38.13	14.66	24.1	-46.13	65.95	11.74	74.04	26.58	-28.43	60.24	-9.48	54.9	-4.33	-60.63	6.65	-31.83	-65.87	11.99	-93.31	39.21	66.43	-21.92	21.47	28.26	-40.38	-31.33	-81.77	-4.25	-16.91	27.29	-63.92	44.6	-23.5	24.86	-40.95	42.84	52.52	-2.15	-46.85	64.97	-18.96	72.47	-45.09	-81.3	-4.95	-8.71
x76	-8.63	-42.14	-55.19	-21.94	1.18	-9.66	51.74	18.8	85.62	-24.4	-99.08	-85.55	6.76	0.85	-33.97	-31.08	6.11	-15.06	-89.72	16.97	-17.56	-44.92	65.14	22	-4.32	10.32	-41.69	-8.26	-30.54	99.03	15.31	2.35	21.36	9.06	-0.66	24.79	-33.88	-27.97	43.77	2.14	-22.89	24.69	-10.19	12.45	-0.37	-80.86	-90.44	6.68	57.06	-33.8	-98.37	0.22	-8.77	55.62	11.41	8.69	-2.34	-47.04	-42.44	-7.17	-41.36	-2.58	30.14	-19.04	28.48	-30.96	1.44	-15.28	-7.86	-42.23	10.32	-49.03	-77.55	-4.02	-23.41	33.54	-28.3	21.35	100	49.95	-73.42	-0.1	37.4	-13.13	6.65	72.06	46	-7.85	43.25	-45.21	38.21	-27.69	98.34	-54.8	-24.11	79.62	8.58	27.54	19.42	3.88	-7.37	13.23	-45.05	-1.33	-38.13	-16.2	-0.12	-5.55	4.66	74.69	75.72	80.86	31	19.07	49.29	20.61	54.9	-2.58	-100	21.94	48.21	60.17	14.89	-22	-44.19	45.05	40.11	13.85	-55.42	22.89	-11.16	23.79	-67.8	-10.46	-73.85	30.4	-8.67	-41.07	-11.1	19.21	10.04	49.65	-24.65	-7.7	37.85	-35.57	8.51	42.1	-16.61	50.07	24.52	-79.51	13.65	-66.78	14.02	27.9	28.25	89.45	37.61	14.37	-15.61	-17.68	16.63	5.84	5.42	-76.99	-25.68	58.69	-4.84	60.18	-72.11	-35.89	-65.92	-10.17	85.73	-10.3	-6.58	-65.55	28.42	57.27
x77	-27.02	72.64	-8.8	-34.57	1.18	-30.07	2.27	-71.59	24.57	7.89	-99.08	9.42	-3.09	2.77	6.77	29.97	-3.35	62.35	3.04	24.84	25.79	21.89	27.83	-68.05	11.77	-1.35	-92.32	3.15	28.53	79.6	-13.27	-62.9	-65.03	-82.73	48.63	-27.8	-38.36	-8.73	44.55	-0.11	-45.59	-10.07	55.87	-86.09	-0.37	52.35	0.86	23.77	29.21	-51.57	-70.16	-42.34	5.45	-9.07	48.08	-2.95	14.82	53.03	97.15	-46.72	-10.84	75.91	33.16	100	20.04	23.84	39.34	-94.3	3.56	16.38	-0.39	-7.41	76.69	17.53	-15.3	69.32	47.27	-32.26	87.16	-18.21	88.83	19.39	36.8	-31.2	6.65	63.93	31.87	16.76	27.07	-28.93	-33.99	46.76	-29.27	17.24	29.3	-9.8	-0.09	1.83	36.51	70.75	-2.69	1.94	-34.95	39.35	36.73	30.09	-27.29	57.04	29.18	-90.92	8.6	-72.68	14.34	56.99	62.12	59.47	80.88	18.51	16.58	6.86	-50.86	62.55	-8.16	-29.08	-3.48	-30.71	-29.8	-32.83	-8.39	-45.01	21.87	16.4	-21.58	-58.78	38.17	23.78	43.92	29	-10.7	13.7	-68.68	17.28	52.27	7.91	-56.98	-6.07	-27.41	6.44	-54.97	57.63	24.58	-79.51	-89.58	30.7	-25.4	24.89	-21.33	37.58	36.17	10.49	23.59	29.16	13.35	2.2	30.12	20.11	64.4	-19.82	14.37	37.34	-59.81	-48.4	19.1	100	-44.42	-21.44	27.18	72.56	5.45	25.66
x78	-23.38	-19.06	-63.45	47.26	-93.99	-44.27	26.61	-11.71	-80.13	-3.58	-35.47	-7.83	58.21	-61.19	1.54	27.63	20.45	21.2	-10.7	-64.68	15.36	-0.3	74.96	-24.76	-28.77	12.52	100	48.79	-7.38	-56.2	-35.94	-18.29	-65.11	31.21	-9.75	-17.62	6.51	16.6	59.39	12.52	64.24	-78.52	43.48	37.06	-13.02	-15.96	-47.06	-38.5	38.74	20.78	-22.07	-25.53	-29.13	32.83	-62.02	39.3	-48.06	-7.45	2.43	58.05	-14.7	67.89	6.8	16.54	38.83	-51.39	-100	35.2	5.36	-10.82	-73.31	49.8	-49.69	35.42	-15.95	53.96	17.11	-11.78	63.85	-9.71	-27.74	6.54	-69.39	-57.44	-0.44	30.7	30.15	3.18	-50.73	14.76	31.1	-33.62	-72.19	-0.75	-92.99	-20.09	76.91	-46.6	-24.74	-24.84	2.35	65.5	5.53	-16.1	-50.5	35.84	12.74	13.32	-56.87	7.37	44.07	-9.11	-4.65	-14.49	28.33	-64.06	-6.43	-49.35	51.65	-77.91	42.73	66.16	30.44	-27.56	49.14	-15.51	-26.02	100	-99.29	47.23	3.76	16.59	40.42	-52.69	34.53	-22.33	21.8	-91.49	-35.72	-22.72	45.37	-7.8	9.84	-23.46	7.9	60.48	33.56	-15.19	-20.35	-8.22	63.28	-19.79	-89.58	-3.83	-26.95	1.64	-96.73	62.38	26.1	52.67	52.45	-17.03	-72.58	-42.94	6.95	6.12	70.32	-71.79	37.5	13.46	-14.14	-21.01	-22.8	-37.65	-68.32	12.62	-17.41	-67.9	-66.16	-30.79
x79	-14.65	-21.91	-7.57	-19.78	-49.75	83.38	21.9	18.8	-69.53	12.69	15	-47.88	-4.15	-15.32	-13.5	39.27	6.91	30.76	26.67	21.93	-38.69	-36.9	9.56	-17.52	46.89	34.59	16.18	-17.56	30.76	57.09	13.65	-32.25	5.34	10.62	-13.08	83.44	-62.99	-32.77	35.12	-60.7	49.88	7.62	51.76	-26.56	48.48	95.51	23.45	-35.85	-27.03	40.94	10.18	34.7	-37.43	-27.86	-62.02	14.65	-37.65	-0.46	-59.29	22.23	38.45	-33.19	25.55	-25.41	-65.82	-8.55	44.42	-100	-1.83	-21.04	46.88	-22.31	-61.56	18.93	32.61	29.04	-59.38	-8.58	-6.28	-52.45	-19.54	-100	-10.07	2.24	-8.33	-46.09	59.12	79.85	-5.23	17.2	-38.88	-41.41	17.64	29.53	50.56	68.38	-40.09	-76.38	8.88	23.72	-28.81	-46.61	-37.04	11.04	8.71	-45.38	10.77	-25.41	-6.86	12.29	1.68	-7.13	43.91	3.31	28.8	-100	-4.98	55.64	4.7	-26.1	7.64	4.67	-98.51	5.42	28.5	-75.59	15.04	-37.03	13.18	47.44	41.63	20.13	47.97	-52.77	-26.06	35.54	48.23	-56.66	-16.59	-43.06	82.67	-23.53	-7.18	14.83	-28.28	28.55	-14.08	-24.73	3.5	36.01	-26.11	-45.96	-35.67	10.99	-26.94	38.85	35.89	51.79	97.16	9.37	52.45	92.57	-5.06	-39.35	9.41	-49.77	-52.01	92.24	30.1	96.55	-0.54	70.42	12.54	27.55	85.44	-10.3	25.67	53.24	-14.4	-33.28
x80	-50.37	24.26	49.79	3.67	32.08	47.25	57.83	72.25	-30.96	-15.53	-24.57	42.46	-15.63	-59.42	-60.57	31.42	-67.4	-29.91	48.79	-34.53	-3.2	-12.82	66.64	-28.08	96.54	-27.18	4.33	56.07	-23.63	-4.54	52.2	-15.24	-56.25	-26.79	19.08	10.61	28.28	2.15	44.55	9.19	-25.8	-66.77	36.32	100	-12.91	-21.53	28.2	-7.69	-2.21	-4.98	-37.88	-6.82	-48.76	-95.06	27.45	41.45	-51.56	-19.52	-77.17	-17.93	42.53	100	-20.79	-87.79	43.19	23.28	43.46	34.43	-9.31	16.16	-40.1	-62.72	-42.88	-93.15	-39.11	-44.19	12.29	16.67	18.09	-7.65	-8.32	-12.52	56.24	15.51	-59.65	-63.71	30.59	-6.46	-6.16	-32.99	-80.7	0.5	-25.22	5.48	16.44	16.85	-76.46	25.01	23.48	-70.67	76.59	-10.06	-68.64	-15.26	-43.98	-1.21	9.49	-0.2	98.32	27.71	57.49	1.37	12.09	-43.12	9.71	-30.49	-2.24	25.21	-15.62	36.13	32.05	26.38	12.2	-4.31	-54.49	-34.26	87.27	-13.37	27.1	-36.25	-78.16	59.4	-58.35	12.22	-6.61	10.77	9.97	50.85	-50.76	6.11	-17.9	-20.29	27.06	-31.37	16.19	13.04	31.22	-9.74	59.18	-79.32	-22.83	-27.9	-28.2	-51.9	-60.04	51.04	45.67	78.78	-2.93	37.16	23.59	7.49	26.97	56.39	20.62	-2.31	-16	-29.38	-50.64	66.31	18.52	40.41	-57.97	4.61	36.42	-29.66	11.94	-14.81	29.84	30.36
x81	-5.57	-73.28	-14.39	-11.47	-41.96	-10.62	-31.32	-28.99	64.5	28.61	32.42	15.76	-22.89	37.25	6.64	45.85	-73.6	-68.49	-14.01	15.27	18.19	39.5	-28.85	-70.1	68.3	40.79	42.49	16.25	100	-26.46	38.59	34.59	-52.4	13.69	-30.43	27.99	44.33	4.39	-15.66	-13.03	-68.22	3.73	-5.89	37.5	22.11	6.88	-6.58	-27.94	7.35	31.24	51.75	62.22	-34.34	13.26	96.18	-31.44	-26.38	-23.67	-27.56	-32.74	-7.31	23.84	-80.43	-6.52	43.19	-14.78	70.71	-48.52	47.52	-17.69	-0.15	-30.75	-100	31.56	16.99	-53.01	27.7	-31.55	40.71	46.8	-25.25	58.45	-26.94	-87.57	-21.38	78.4	21.57	-70.5	-28.35	-82.8	66.41	-15.07	-21.18	4.85	-16.7	-0.41	-24.68	5.89	23.48	-15.86	-47.42	70.73	51.24	-3.34	-2.42	44.1	25.39	15.53	98.32	-31.29	-41.14	10.9	5.94	4.63	-16.28	8.64	-10	74.95	9.03	36.94	-36.85	-24.23	-20.47	26.74	77.91	12.7	-41.54	-18.47	2.05	89.21	9.83	59.01	61.51	30.34	33.81	31.07	19.5	-95.12	-31.6	49.85	36.5	22.19	38.08	-31.37	-18.68	6.14	0.04	46.46	-27.25	-79.32	-12.62	56.78	92.22	-51.9	25.77	-56.45	-79.6	100	-2.93	-24.29	-19.04	-88.91	4.98	-29.84	-14.57	-8.8	-7.08	11.66	31.1	21.36	6.64	0.09	-84.75	4.92	12.16	-60.27	-44.94	4.55	-57.14	15.2
x82	12.79	2.45	-40.03	-43.96	-47.46	-17.33	-7.63	18.8	83.68	76.18	-20.92	-67.7	31.1	23.43	-100	-0.88	-100	16.73	17.68	28.1	-38.69	8.01	24.92	-22.79	-57.32	63.09	28.07	-47.05	0.95	57.09	4.33	2.56	-37.21	30.6	-11.76	10.84	7.66	51.48	-50.91	38.83	49.57	84.15	-29.29	-18.54	1.04	20.19	-10.58	20.73	-37.94	-56.91	42.81	-66.32	3.79	78.73	-37.46	3.22	22.53	48.81	-25.94	19.85	42.53	-55.1	-26	-87.79	-11.27	-85.97	43.99	60.43	-10.54	2.13	-30.97	78.82	-100	16.58	1.58	16.26	12.7	0.19	23.91	18	52.28	6.04	-29.87	9.92	6.41	85.19	-5.42	-42.64	-46.51	-21.01	17.55	33.58	17.16	-75.93	-37.73	-31.14	71.5	21.27	23.48	36.93	-6.65	-3.86	34.29	-16.52	-9.97	16.99	46.18	29.34	-50.77	-23.98	-13	90.4	1.71	-2.38	62.3	-55.42	-2.24	-42.24	-100	4.21	21.44	2.14	-65.91	-100	0.64	42.9	-18.6	-12.06	25.58	-16.12	-19.44	-10.91	55.08	-34.92	-4.84	23.81	54.08	27.88	-23.66	-89.8	82.67	50.24	-7.75	-73.89	37.33	70.19	-5.72	10.46	59.18	-3.23	89.55	18.97	47.54	7.1	-26.94	1.29	1.61	-38.75	95.44	12.01	-0.72	92.57	-16.91	37.16	53.38	-10.05	13.32	14.1	-71.62	60.18	32.81	-2.15	52.19	91.43	-50.05	-10.3	-55.75	-65.55	-99.91	63.55
x83	-17.77	-43.03	-65.12	-7.98	31.57	11.26	26.61	-37.26	85.62	0.23	-99.08	-38.67	62.43	62.75	-11.52	100	-15.55	-24.93	-35.47	-92.34	-3.33	52.84	43.2	43.77	-25.31	9.67	-24.54	-33.71	2.56	47.37	-22.37	-86.06	48.78	-61.19	86.77	80.37	27.7	-53.73	86.05	28.32	27.12	-18.71	-59.04	8.04	5.92	28.47	27.41	17.03	-36.49	56.08	94.64	24.54	-45.86	-25.93	93.23	43.51	2.71	100	4.81	92.52	-43.28	-27.34	-23.04	11.98	-12.38	74.19	-65.4	6.09	-8.88	-8.75	-4.11	-28.63	-28.59	-5.95	-62.63	5.47	-32.91	-11.54	87.16	31.52	92.94	-48.63	31.74	0.76	-31.73	100	-50.06	-53.93	16.16	-0.46	27.94	36.15	-31	-51.26	-67.23	-42.2	-100	-59.17	13.09	-81.71	44.56	17.97	-67.75	-15.94	-57.61	64.31	64.55	-26.36	-0.8	76.91	-3.42	-8.48	-100	-24.6	16.16	-39.52	17.97	41.99	21.58	-4.29	-96.48	-57.22	-27.96	25.22	30.28	-7.43	91.87	12.21	4.32	37.87	-18.54	8.69	-32.05	16.16	-37.06	-0.72	3.64	-9.58	-38.62	12.36	31.21	34.32	0.87	28.84	-64.75	19.72	33.84	-36.9	-6.79	8.09	8.67	-76.87	46.95	-9.76	-36.79	-66.3	-25.16	31.84	57.27	17.21	44.19	11.11	-35.26	51.05	56.39	12.47	46.79	-64.68	16.18	1.98	-59.33	5.11	-9.73	-44.07	44.45	-20.03	31.66	33.22	100	-100
x84	-14.77	-18.06	-0.96	46.6	25.36	71.44	26.84	-40.39	60.29	-34.2	100	12.97	20.38	41.41	25.63	-32.66	-8.1	-17.57	-29.54	-92.34	-46.34	-22.29	3.57	-9.5	-52.74	-0.27	49.13	62.23	100	-9.78	15.43	-24.17	5.61	74.71	29.53	-75.45	-57.52	45.32	40.22	-0.48	-40.66	88.78	16.67	21.42	-1.77	67.59	-6.5	59.64	-4.94	35.35	-3.31	-39.46	14.16	-3.44	-59.68	35.77	35.24	-47.63	-13.14	92.52	-2.34	-3.25	21.18	-13.28	-31.72	31.85	-24.03	6.53	73.69	-8.47	31.33	-11.01	18.41	-17.54	39.95	-2.27	76.02	4.2	16.58	3.47	-33.61	4.41	56.45	-36.74	10.62	-9.68	56.2	-28.8	-26.66	-1.53	8.04	-16.01	-28.56	-12.3	22.63	-52.64	14.69	-16.3	45.8	-5.55	-22.03	-14.9	-47.84	36.17	-4.85	-30.3	33.3	-57.93	7.37	34.13	-16.36	-26.17	91.83	56.58	-80.6	28.27	20.19	39	-36.56	-2.31	-40.35	-11.63	19.81	32.18	-19.11	-18.55	89.27	-35.54	51.72	-50.01	-11.84	31.15	26.4	-1.94	26.03	-45.44	18.19	31.02	6.13	-60.5	44.03	-37.74	-5.45	5.2	62.97	3.42	20.52	-1.9	-26.61	-42.22	-20.19	-4.35	29.18	27.22	-20.06	42.45	-26.03	25.41	14.41	-20.28	-17.39	-27.95	-27.49	42.62	45.7	-28.58	-16.81	-51.58	3.1	-1.74	-38.03	37.2	-4.31	62.6	-17.57	4.24	46.73	-32.15	45.21	100
x85	12.18	-34.11	95.27	-9.53	17.67	-1.2	38.84	83.06	46.63	-47.41	-14.85	-37.88	-58.79	12.02	5.76	41.66	21.81	66.34	-38.4	31.53	-38.69	-5.65	84.38	99.85	34.21	1.09	-20.23	-16.22	9.77	38.11	14.15	35.14	-31.17	-21.05	-19.49	61.73	24.72	-2.37	31.39	-13.59	-2.59	-23.66	-17.94	0.22	-90.23	-21.99	27.81	38.73	-6.48	-13.14	32.56	-64.87	-15.51	-23.65	-40.76	52.48	35.75	58.62	-40.84	25.67	10.4	100	65.28	5.82	38.15	-22.13	-20.72	50.82	100	8.4	64.15	-61.77	6.15	62.38	35.97	-30.11	-13.89	8.15	-51.8	-22.47	-1.89	-55.37	-27.77	93.76	-22.86	8.12	33.51	-10.23	13.31	-100	-60.5	4.83	73.83	-15.96	20.13	11.06	-34.53	23.4	4.97	-11.15	36.45	-29.23	-57.56	-19.65	21.58	-81.89	-72.45	-12.28	44.47	-27.57	22.15	-92.87	6.18	48.95	49.75	-38.26	12.93	24.71	-21.59	61.88	56.21	14.94	-42.31	57.56	1.78	-26.86	11.37	-47.59	-5.3	-18.07	-43.32	36.02	-67.19	51.8	-18.79	-4.28	-46.53	-5.41	26.15	-28.2	82.67	52.71	73.32	-36.75	3.74	32.77	10.06	-8.92	3.27	38.4	65.74	-30.95	56.14	59.78	-26.94	-37.52	-51.5	39.62	-46.4	17.14	27.01	92.57	-38.87	-42.51	45.62	34.1	-59.61	-32.15	-27.74	-6.37	-12.96	27.15	81.48	-11.61	14.86	-25.27	-36.8	14.03	-79.37	19.65
x86	55.1	-13.26	-90.13	4.55	43.49	43.64	-25.9	18.8	-60.76	-34.2	-25.36	-9.99	-31.08	25.11	-13.78	97.27	48.33	72.53	6.51	19.75	26.47	63.57	58.45	55.29	0.57	22.09	31.1	-21.36	38	-64.91	-21.84	100	44.01	-28.57	-25.97	-35.8	-69.94	-9.63	6.42	2.8	36.01	29.25	24.01	44.6	-16.67	-45.83	-20.46	-83.93	20.14	-25.38	0.81	63.65	25.72	31.62	-0.17	10.05	-5.34	43.85	-73.83	4.66	43.79	-10.66	-81.71	2.34	56.91	-2.68	6.68	35.99	-70.57	22.05	-21.44	21.9	-17.12	-2.49	-11.88	13.68	-15.38	-41.36	-41	-8.4	19.43	-64.25	55.1	7.51	14.52	63.22	60.22	-7.81	-78.59	13.94	-70.12	28.38	-16.53	45.29	-10.18	-28.55	11	-45	-60.89	-70.67	-22.03	44.5	-40.01	16.96	-17.27	-11.92	61.72	-2.55	-72.55	10.24	-22.33	38.14	-36.53	-67.34	15.57	26.2	100	48.25	52.13	3.07	-12.56	-78.18	-76.69	12.42	68.93	-25.02	87.27	30.53	-6.58	-14.64	7.73	72.21	-41.84	-88.9	3.92	-26.37	-12.02	-6.72	45.73	-29.38	11.85	-62.82	84.3	65.56	61.53	3.42	16.68	-34.26	-24.64	18.32	-58.39	42.86	35.28	-41.78	-17.53	-76.22	-59.26	-49.09	-63.49	73.48	14.46	2.6	-15.05	-48.99	10.53	-24.08	-73.06	-12.33	41.01	-4.92	18.52	23.57	-68.81	9.94	35.93	-10.3	1.96	53.68	13.19	-2.72
