X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99
x10	0.58	-2.94	-13.04	-6.03	-7.11	1.42	9.95	-0.11	-15.72	-8.99	-6.08	-10.86	-2.75	-0.9	-9.04	3.7	8.04	8.63	12.04	-9.83	-7.05	18.25	-18.32	18.11	-1.07	-5.66	4.73	-1.28	11.96	-8.11	2.03	0.39	83.61	52.85	40.39	-7.62	-9.63	-28.1	-33.12	-49.06	-67.3	-83.85	-84.02	-90.18	-94.06	-7.22	-6.2	-10.59	3.73	-18.28	2.22	20.41	-13.72	-5.1	7.2	-9.92	-13.33	94.41	85.87	84.03	75	63.85	63.44	51.23	11.73	-23.43	-39.36	-40.06	-43.2	-45.45	-87.05	-89.61	-95.04	-96.15	-96.27	-3.8	-6.42	-21.12	3.87	13.82	11.68	2.1	3.64	-7.75	3	20.86	12.5	9.38	0.78	6.39	-13.17	-10.45	15.01	10.18	9.95	-9.04	-13.02	-8.67	-2.16	-9.25
x11	-2.83	-20.87	2.47	11.91	3.62	-15.09	-3.92	-3.93	-12.18	-3.13	-9.63	14.95	-6.19	-8.83	-1.84	-0.56	2.64	-13.82	7.94	-1.56	-10.29	-15.78	8.41	2.33	-1.3	1.99	8.12	11.26	-2.82	-19.73	-4.81	-6.6	-22.31	8.79	3.62	-6.57	-7.23	-18.38	7.8	-10.47	-2.54	-16.1	-1.13	6.64	-2.27	-6.96	33.88	-14.86	0.29	4.82	-13.73	-5.64	1.16	9.26	5.36	12.49	-5.64	-5.9	17.58	9.21	9.33	9.18	8.12	-3.29	-0.48	-13.95	-5.62	-13.82	0.81	0.07	-1.88	3.06	11.54	5.7	11.5	0.74	13.03	8.71	12.51	-12.61	7.75	-2.39	-13.87	-9.12	24.68	33.55	8.63	14.56	-3.92	-4.08	-6.18	-18.2	-7.99	9.58	-0.5	-5.56	-12.13	32.98	-1.16	-0.92
x12	0.01	16.44	-0.78	-1.79	-13.87	-7.99	-4.8	2.07	-10.98	26.57	-1.06	21.54	-10.8	-6.11	-6.06	-1.73	-15.31	8.75	-5.94	0.59	27.79	-7.94	-8.58	2.39	7.17	-7.01	-7.08	6.26	13.54	7.98	12.45	3.05	-12.79	16.7	-2.16	16.38	9.46	1.5	-1.63	-18.88	12.85	-10.19	3.26	-6.97	0.6	4.91	4.72	16.57	10.48	6.2	13.7	-12.51	4.12	-3.15	-5.05	3.9	-3.7	-2.07	8.15	2.05	6.01	-7.29	-17.5	-8.94	-1.37	-0.74	1.71	-5.88	7.06	-20.61	21.55	-2.05	3.38	-11.8	-14.8	13.31	-3.52	5.25	-0.03	-10.67	9.95	-19.03	3.97	-3.53	-4.3	-7.77	4.8	5.02	8.19	-10.17	11.07	-10.03	2.47	9.26	-3.18	7.87	-5.61	4.92	-2.93	2.04
x13	3.55	-2.05	-6.07	-11.82	-23.34	-10.8	-6.53	2.7	72.58	61.99	20.67	0.87	-16.87	-38.2	-42.59	-61.12	-78.38	-82.41	-97.46	-9.1	6.48	14.83	4.71	1.41	7.26	-15.51	-0.31	4.83	-16.31	-1.11	8.37	9.26	-17.22	3.89	7.94	-14.54	-5.84	7.04	8.84	2.89	-13.93	-6.42	-1.65	4.86	1.79	3.18	0.24	2.56	15.01	4.92	-2.19	22.21	2.94	6.55	1.25	1.75	-5.62	83.23	72.3	72.23	65.47	50.17	46.31	36.7	24.63	21.13	19.1	13.05	9.15	-2.75	-22.18	-23.99	-58.09	-58.65	-63.76	0.82	13.71	-24.2	1.69	-12.96	3.73	-12.21	4.91	-1.52	-11.17	4.99	-6.31	-13.97	-2.79	-0.27	4.19	17.01	-3.35	-14.41	-2.17	-8.34	7.2	-1.37	5.82	-16.82
x14	8.6	-5.58	-5.12	2.94	8.99	10.28	17.7	-3.33	11.29	-11.56	13.22	7.35	-8.84	9.1	17.24	-7.61	2.69	7.66	-9.55	2.87	-15.02	7.35	-2.52	0.77	-12.83	-3	0.56	10.5	-6.62	-2.42	8.06	6.2	16.14	-32.03	-3.73	-5.2	-7.36	2.46	5.43	17.62	-7.27	-8.15	-4.2	-4.12	-6.44	-2.73	-9.78	-0.3	-3.96	-4.2	-2.34	19.57	-2.3	0.13	-2.94	-5.52	2.66	4.3	-3.81	15.93	-8.25	-4.34	-9.02	6.15	-0.85	-15.88	-14.79	6.58	0.3	-5.54	0.9	-6.19	15.49	-17.88	-7.77	-23.72	11.86	-6.06	0.04	-6.5	19.89	-10.54	-5.68	13.56	1.5	6.7	1.22	-11.71	17.12	5.55	8.99	4.35	-28.49	4.81	14.98	24.18	-14.72	3.88	0.8	7.33
x15	-31.73	17.95	4.01	-0.06	-8.59	-6.46	-4.87	14.45	-23.46	20.15	5.68	-7	-6.43	21.47	-11.2	-3.56	0.12	1.13	10.18	2.36	1.69	-30.22	-4.93	-4.01	5.49	16.5	6.41	13.8	12.27	18.42	-12.95	-0.45	10.01	-19.63	-8.92	-10.15	0.09	7.7	1.92	5.13	-0.46	12.87	-2.47	0.5	8.73	6.34	6.23	0.13	0.15	6.4	-1.07	-1.4	-2.62	99.95	99.6	97.32	69.52	68.47	59.13	56.75	55.24	37.85	6.49	-22.98	-67.46	-86.72	-4.68	-5.73	13.15	-3.51	-10.89	-2.9	8.45	-5.71	11.84	8.98	-10.27	4.68	-9.63	9.41	-4.63	0.78	-10	-3.36	4.26	-15.27	-0.91	0.75	-17.48	-17.1	-0.88	-13.27	15.3	21.46	-13.72	-9.61	-10.55	-1.33	-8.28	8.24
x16	-0.78	-15.51	7.1	-4.59	-13.06	-8.07	1.2	-4.58	-1.68	-16.4	11.65	-1.84	-0.52	2.65	11.37	10.15	-11.33	1.16	-4.6	-9.68	9.72	-18.7	0.18	-14.54	-9	0.62	10.36	7.69	5.19	1.42	-2.93	1.31	-13.41	-3.02	-8.32	7.27	7.3	-9.26	3.38	16.19	-0.28	-3.78	8.23	2.39	6.95	3.41	-0.44	-9.18	5.21	13.4	-17.93	1.02	-14.03	90.71	53.59	32.93	29.87	26.74	23.51	-13.1	-17.18	-28.55	-37.43	-42.13	-78.99	-92.28	-8.2	15.59	-13.82	3.38	-5.3	0.6	5.84	-0.95	-6.78	17.75	-1.32	5.61	-7.8	-5.16	1.33	10	-7.14	9.23	-18.49	-5.79	3.47	-8.87	1.87	18.75	11.91	-5.74	1.98	-0.96	-1.28	-10.72	-15.3	-6.38	-2.11	-9.03
x17	2.06	-2.83	0.69	-3.49	1.89	-9.08	10.21	-13.44	83.89	81.68	77.32	38.69	37.41	17.01	15.28	-14.71	-53.36	-53.37	-77.64	-0.21	-23.8	6.76	2.89	17.5	12.99	-0.28	8.34	6.28	8.53	-4.77	10.6	2.71	6.97	-10.11	26.06	-15.36	-20.82	-12.66	4.23	6.02	-12.83	-10.63	6.5	10.27	10.96	0.97	-5.59	-10.79	-12.12	5.22	5.22	-5.02	-5.86	-18.28	3.3	8.53	-16.06	-4.84	10.48	1.96	17.45	-7.04	3.28	-6.77	10.43	-4.05	-6.79	3.11	-7.41	2.63	9.59	-4.67	11.13	-9.01	6.93	-5.5	12.92	11.22	-3.38	7.02	4.78	-15.96	-23.58	-5.15	-13.86	22.37	-14.71	0.52	11.26	8.91	7.46	4.95	-2.97	11.26	-14.98	-13.97	11.21	8.26	-10.59	-9.89
x18	-5.1	12.07	7.52	-4.08	6.78	4.76	11.58	-11.3	-18.18	12.71	4.74	5.39	-1.14	5.22	-18.7	17.76	14.1	-7.99	2.55	5.58	-15.36	-5.58	-5.22	-5.36	-4.41	3	-16.3	8.45	-7.48	3.73	-17.09	8.93	-16.48	-0.84	0.68	5.59	8.12	5.51	-3.73	3.76	-14.44	0.74	-14.87	-19.76	-13.35	3.69	3.62	-2.11	9.64	4.52	-5.13	-2.84	11.58	1.93	1.86	-4.46	3.12	-6.15	-4.77	10.54	3.65	8.24	-13.61	-11.85	-4.33	6.07	11.87	12.57	-12.85	-11.87	-9.63	13.23	13.44	20.29	-10.55	-6.44	1.13	6.57	-23.48	15.02	6.92	5.27	-2.71	2.88	4.54	18.59	4.15	-2.7	6.88	8.8	-13.21	-2.1	-9.93	4.8	-6.09	7.31	-9.14	-4.36	12.14	-1.32
x19	-12.22	8.6	-7.06	16.21	3.04	-8.96	5.65	16.98	2.95	8.46	6.72	7.42	-2.25	5.82	7.69	15.09	1.49	11.53	-10.1	-1.01	11.54	13.59	-0.78	0.35	0.92	11.73	-6.25	-12.51	1.27	-27.11	0.16	14.66	15.49	-16.57	-0.31	4.26	12.2	-14.18	15.27	2.02	8.46	22.74	-6.84	-2.83	-0.94	13.94	-2.43	12.35	-0.87	6.5	-11.69	7.03	6.01	-3.06	4.68	-13.76	-14.06	-9.95	5.89	0.89	5.26	-0.51	7.17	-5.34	6.84	4.71	8.71	-13.85	-13.03	-8.92	0.19	-19.26	-2.08	-3.3	21.42	14.9	11.52	3.48	-5.54	8.91	-8.95	-15.13	5.22	10.22	3.76	-7.1	7.28	-14.95	-1.53	-14.16	-6.87	-3	-8.12	10.68	-4.6	-25.04	-6.13	9.58	-13.43	-6.5
x20	3.36	-7.01	-4.07	-6.25	-11.26	-5.6	89.61	68.46	42.51	21.89	19.15	-13.41	-35.01	-35.62	-63.13	-80.85	-95.42	-5.59	-8.05	6.66	-1.6	4.61	10.46	-1.36	-4.73	-0.74	-3.55	6.02	-30.02	12.33	-11.5	5.88	0.78	-7.16	-7.62	-1.15	-4.76	0.14	2.43	-3	-1.29	19.8	0.11	4.48	2.49	1.43	18.54	22.01	16.87	-4.3	8.42	5.12	17.24	-2.81	12.48	-9.99	2.31	-4.13	6.98	2.97	5.75	14.56	-0.13	1.97	-3.47	6.77	-8.96	-3.76	0.76	6.92	-7.76	12.63	-13.74	18.55	-0.23	-2.79	9.94	2.83	-6	-4.17	-3.52	-4.47	21.26	-9.99	-11.12	-6.69	4.77	18.71	7.49	1.32	1.62	-17.22	-9.05	1.54	-8.95	4.69	0.82	-1.21	-3.49	-12.93
x21	11.3	6.13	4.51	3.46	7.85	-0.14	-6.69	13.52	-7.29	3.8	-5.12	-1.55	11.71	-6.1	-11.33	-6.84	3.07	-9.7	0.89	13.66	-13.8	2.72	4.15	5.78	-1.14	0.66	-11.08	-6.26	-1.08	-10.16	21.68	-9.24	13.72	-1.5	-0.49	6.97	-23.97	-7.56	-18.83	20	-8.96	8.08	5.13	-21.86	21.96	4.78	0.93	-7.71	1.43	-17.54	0.55	-1.58	-9.21	-3.82	-2.37	-5.08	7.37	-6.36	-7.27	-22.83	11.86	-11.47	-2.1	2.11	14.74	24.01	-8.28	-12.07	-9.3	13.56	6.07	6.7	-12.84	-0.02	-21.36	18.06	4.99	7.52	-1.16	-4.15	0.82	10.23	-1.83	4.31	10.32	1.32	0.42	7.12	4.15	17.37	8.82	23.07	5.8	-11.84	2.7	-20.48	1.94	-6.93	-0.4	-1.22
x22	-9.57	2.8	-7.17	-12.72	4.6	-7.7	-11.41	9.51	98.79	97.91	69.95	51.99	38.66	28	27.88	20.21	5.24	-30.07	-86.28	6.43	-0.74	-3.43	2.51	11.13	-6.71	8.75	2.21	9.57	-10.65	-14.24	9.74	11.26	4.98	11.04	8.46	1.56	-7.25	10.49	-11.32	-15.84	2.38	10.89	-3.54	-1.63	-5.79	10.93	5.84	9.69	2.57	-17.99	-4.08	-4.46	13.14	0.88	-12.6	6.4	-8.67	4.34	-9.79	-2.28	12.4	-15.64	-1.62	-1.05	-1.96	1.08	-1.79	-6.55	0.4	5.93	13.87	2.76	-7.56	10.9	15.7	-1.58	8.63	-1	6.15	-3.03	2.26	-16.25	11.56	-4.66	-1.55	-5.89	-0.93	-5.21	-1.32	-2.1	-5.45	27.71	4.4	-1.54	1.42	6.97	0.72	-1.89	-6.78	4.85
x23	2.08	3.56	-11.57	2.18	-9.57	12.22	-13.32	17.35	40.21	36.87	4.36	-29.76	-39.18	-43.49	-44.89	-54.53	-57.68	-70.98	-74.91	-4.36	-8.76	-15.81	13.45	4.73	-3.02	-5.98	-11.27	-6.84	-23.45	-11.06	18.16	2.17	-2.29	2.97	-11.27	-6.92	-0.67	1.54	-0.63	-19.08	-10.69	14.67	10.85	1.31	-11.43	-1.29	8.17	5.6	-4.1	5.37	6.08	-11.5	0.06	-8.21	-11.73	-3.06	-4.77	1.42	-1.98	-5.36	16.08	-0.5	13.26	-17.01	8.26	-14.18	1.57	2.78	2.36	-7.02	14.42	-0.24	12.67	25.8	4.2	-1.06	12.39	12.52	4.43	14.65	1.33	5.95	19.01	-14.58	-9.22	1.59	14.38	-2.9	-10.74	12.53	15.92	9.07	-13.55	-11.28	-12.17	0.52	12.69	-16.82	23.14	5.23
x24	-9.91	-13.09	1.85	-3.55	-9.93	8.81	-8.03	12.57	4.38	-3.72	3.56	24.87	-2.74	-0.67	6.87	8.34	-1.85	-15.78	-2.53	9.88	17.31	-13.94	-6.82	8.25	9.33	-7.44	1.39	-1.84	4.68	1.36	-8.96	14.37	67.76	67.63	14.72	11.67	-11.42	-14.15	-45.38	-65.86	-77.57	-77.93	-82.66	-95	-95.8	3.85	-6.65	29.1	-11.29	16.85	3.04	-6.19	2.94	22.28	-5.76	-6.06	-0.42	-1.93	1.67	4.82	14.8	-14.11	19.23	-8.16	-1.57	11.92	12.04	1.18	-3.13	4.02	-7.8	2.18	-11.46	18.93	6.38	-6.71	-2.56	-8.63	3.45	8.43	6.55	-7.61	-3	-1.96	-1.73	-13.94	-8.6	11.35	0.11	4.8	-21.01	-16.18	-7.01	3	19.47	-0.03	0.7	-0.45	-4.65	7.25
x25	-7.41	13.82	-0.82	0.18	22.83	2.47	-1.08	1.35	-4.18	-8.91	11.92	16.98	-20.1	16.37	-0.19	-17.63	0.94	-9.47	-2.59	5.55	12.56	-2.86	-0.03	-1.14	-0.07	4.03	12.67	8.96	17.84	14.25	-5.1	9.37	-11.44	10.31	9.71	-4.28	9.9	-13.71	-4.85	2.51	2.43	-15.06	15.01	-0.22	-14.31	2.43	-0.76	-2.78	-16.86	-0.38	-4.45	10.99	4.71	-1.6	9.23	-11.53	4.9	-11.28	-22.1	-3.18	3.23	-0.71	-11.19	15.6	-7.93	17.92	-8.49	3.98	12.35	-7.52	-11.25	-1.44	2.07	-3.16	6.09	6.41	-25.31	-7.6	-10.16	-15.43	-2.72	-1.12	5.43	25.41	-26.43	-6.47	-1.4	14.98	-5.34	-11.79	0.39	3.98	0.76	6.71	2.74	-13.32	-23.32	-5.66	-4.96	20.07
x26	-2.47	-5.88	-11.55	5.8	-4.65	19.07	-9.72	-3.71	-0.76	-6.33	11.24	-7.32	-6.18	-3.58	2.79	-8.59	-2.41	18.66	-9.88	-4.68	-6.6	-17.28	-4.16	-3.43	5.31	-5.58	-3.74	-7.51	4.08	-2.6	7.73	-11.67	22.77	6.25	-18.46	-14.3	-5.28	24.21	10.37	15.04	11.4	-21.43	-2.48	16.74	-5.52	5.11	-4.49	-8.92	8.66	11.32	8.72	-18.74	10.04	-4.11	16.38	-5.09	-15.84	7.27	-12.82	-1.08	6.64	6.16	5.19	-4.4	-8.11	4.15	17.57	-4.71	-18.44	-8.05	9.34	9.95	-4.18	-5.77	13.22	2.19	6.34	7.42	7.28	2.52	7.04	8.79	5.31	-8.65	-11.18	7.11	1.57	5.41	-21.36	6.47	6.22	-0.73	-0.65	9.18	9.65	7.5	-2.34	5.41	-4.95	2.27
x27	0.85	4.6	-4.68	3.73	1.29	0.09	87.99	74.83	67.43	57.42	47.69	45.11	40.69	32.93	-49.64	-69.29	-87.41	-6.26	7.7	-1.16	5.97	-8.4	7.12	4.54	-5.66	6.04	-3.99	-15.05	1.45	-7.95	-10.81	8.37	-0.12	0.73	-1.02	18.9	5.72	1.82	-0.71	10.74	2.97	7.45	-2.97	2.32	29.75	-4.83	-8.67	20.55	16.11	6.89	-5.77	13.06	5.48	8.57	11.29	-4.41	-2.26	1.11	9.84	0.39	-5.2	-18.3	-0.94	-12.79	6.29	-3.4	6.69	-0.53	18.58	2.27	9.69	-23.76	-4.51	3.89	3.55	4.51	3.24	-15.83	15.9	4.37	-0.11	-5.17	0.33	-11.46	5.82	-20.68	-17.54	-2.2	7.4	-10.18	15.34	7.79	-8.54	0.76	23.84	-0.69	3.98	-3.62	0.96	16.94
x28	-0.53	8.95	-10.33	-11.89	-8.88	1.09	-12.44	3.12	4	-3.84	-8.32	11.32	4.84	3.41	8.3	-4.44	-1.54	-5.03	11.66	3.28	-6.98	-5.94	-10	-10.26	12.6	4.03	16.08	15.7	10.78	9.34	11.67	15.62	9.24	-10.04	-3.44	-0.39	6.53	-4.28	0.81	9.88	-12.97	-0.91	-2.35	-17.38	-4.9	19.29	7.07	11.6	14.09	5.41	9.74	2.39	4.51	10.87	-5.88	3.83	-13.04	2.16	-3.6	-18.35	-0.27	19.86	4.2	-2.45	-5.57	-3.93	0.48	14.28	2.13	4.81	-0.08	-6.71	-1.84	9.11	-8.13	19.16	1.3	27.06	-26.34	-24.18	4.17	-5.74	-7.51	-4.96	-0.2	5.94	8.39	-0.61	-2.64	-1.53	10.87	-7.67	5.55	2.98	-16.75	5	-5.87	-3.78	-4.6	17.81
