Number of planted biclusters: 2
Bicluster coverage: 50.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


Bicluster #0 (50, 50)
Rows=[0,2,3,6,7,9,10,16,17,20,22,24,25,27,28,29,30,33,38,39,40,42,45,46,52,53,54,55,56,57,58,64,66,69,70,74,75,77,78,79,80,82,83,87,88,90,91,94,95,98], Columns=[0,1,3,4,6,10,11,14,15,17,20,21,22,25,27,29,30,32,38,39,42,43,46,47,48,50,52,54,55,56,57,59,60,61,62,63,65,69,75,78,84,86,89,91,92,93,94,96,97,98], RowPattern=Constant, ColumnPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=Additive

X	y0	y1	y3	y4	y6	y10	y11	y14	y15	y17	y20	y21	y22	y25	y27	y29	y30	y32	y38	y39	y42	y43	y46	y47	y48	y50	y52	y54	y55	y56	y57	y59	y60	y61	y62	y63	y65	y69	y75	y78	y84	y86	y89	y91	y92	y93	y94	y96	y97	y98
x33	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x38	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x39	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x40	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x42	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x45	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x46	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x52	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x53	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x54	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x55	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x56	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x58	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x64	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x66	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x69	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x70	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x74	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x75	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x77	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x78	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x79	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x80	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x82	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x83	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x87	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x88	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x90	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x91	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x94	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x95	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x98	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99

Bicluster #1 (50, 50)
Rows=[0,2,3,4,6,7,8,9,10,12,13,16,17,18,19,20,22,23,24,25,27,28,29,30,32,33,36,37,38,39,40,41,42,44,45,46,49,51,52,60,61,65,72,73,86,89,92,93,97,99], Columns=[0,1,2,3,4,5,6,8,10,11,12,14,15,16,17,18,20,21,22,23,24,25,27,29,30,32,35,38,39,40,42,43,46,47,48,49,53,66,67,68,70,72,74,76,82,83,85,90,95,99], RowPattern=Constant, ColumnPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=Additive

X	y0	y1	y2	y3	y4	y5	y6	y8	y10	y11	y12	y14	y15	y16	y17	y18	y20	y21	y22	y23	y24	y25	y27	y29	y30	y32	y35	y38	y39	y40	y42	y43	y46	y47	y48	y49	y53	y66	y67	y68	y70	y72	y74	y76	y82	y83	y85	y90	y95	y99
x0	46.57	46.57	52.56	46.57	46.57	52.56	46.57	52.56	46.57	46.57	52.56	46.57	46.57	52.56	46.57	52.56	46.57	46.57	46.57	52.56	52.56	46.57	46.57	46.57	46.57	46.57	52.56	46.57	46.57	52.56	46.57	46.57	46.57	46.57	46.57	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56
x2	46.57	46.57	52.56	46.57	46.57	52.56	46.57	52.56	46.57	46.57	52.56	46.57	46.57	52.56	46.57	52.56	46.57	46.57	46.57	52.56	52.56	46.57	46.57	46.57	46.57	46.57	52.56	46.57	46.57	52.56	46.57	46.57	46.57	46.57	46.57	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56	52.56
