X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99
x10	46.57	46.57	52.56	46.57	46.57	52.56	46.57	63.17	52.56	-52.92	46.57	46.57	52.56	29.93	46.57	46.57	52.56	46.57	52.56	38.17	46.57	46.57	46.57	52.56	52.56	46.57	-15.89	46.57	-3.25	46.57	46.57	-9.99	46.57	-31.46	-44	52.56	-45.72	19.74	46.57	46.57	52.56	-46.41	46.57	46.57	46.34	1.5	46.57	46.57	46.57	52.56	-5.99	-36.39	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	8.01	-5.99	-5.99	-5.99	-5.99	-5.99	-13.79	-5.99	52.56	52.56	52.56	-5.99	52.56	5.29	52.56	-11.13	52.56	-5.99	52.56	-58.44	-5.99	-20.85	-10.49	-35.96	52.56	52.56	-5.99	52.56	-5.99	35.1	-47.86	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x11	9.95	-32.42	-64.18	-20.65	40.7	23.83	-16.75	-0.37	37.28	-48.09	4.61	-20.69	-27.19	-0.62	-2.83	-8.32	-36.13	-46.01	-2.26	-48.67	-11.85	24.48	14.37	29.71	-23.34	-20.83	18.26	-18.22	11.46	10.5	-33.62	-5.52	-9.85	-19.99	-7.16	30.96	44.91	43.67	-31.17	4.99	36.33	-3.78	24.9	5.6	-22.35	-8.26	13.85	-30.69	17.16	-15.74	-8.25	-26.72	14.26	55.56	18.36	9.82	-10.98	24.03	-11.51	39.64	-31.17	6.85	-6.48	-17.26	-1.82	1.17	22.22	-38.2	12.19	-26.48	-15.46	-3.74	-31.18	-40.86	-21.43	-10.29	13.49	-42.19	6.56	-50.37	-11.77	-45.92	-5.7	55.96	55.12	0.11	18.07	6.46	21.79	38.14	-31.41	9.24	-67.55	4.2	68.09	16.11	11.37	-3.18	-30.12	-10.12
x12	52.56	52.56	52.56	52.56	52.56	52.56	52.56	21.3	52.56	-11.81	52.56	52.56	52.56	-15.14	52.56	52.56	52.56	52.56	52.56	13.76	52.56	52.56	52.56	52.56	52.56	52.56	37.43	52.56	-14.57	52.56	52.56	-5.59	52.56	-36.88	4.58	52.56	19.83	4.74	52.56	52.56	52.56	22.31	52.56	52.56	-39.9	32.86	52.56	52.56	52.56	52.56	11.5	23.09	9.93	52.56	-59.77	14.24	10.18	-33.65	-11.79	36.43	13.78	-18.17	27.33	-16.35	-53.62	43.05	52.56	52.56	52.56	-15.53	52.56	27.95	52.56	42.03	52.56	28.9	52.56	-29.43	-16.17	-7.85	23.87	-0.47	52.56	52.56	-24.64	52.56	24.5	-59.04	-10.79	-20.53	52.56	21.2	23.15	52.27	34.91	52.56	-11.47	-14.33	-58.55	52.56
x13	52.56	52.56	52.56	52.56	52.56	52.56	52.56	-40.61	52.56	7.22	52.56	52.56	52.56	30.44	52.56	52.56	52.56	52.56	52.56	-13.51	52.56	52.56	52.56	52.56	52.56	52.56	10.94	52.56	27.2	52.56	52.56	-13.87	52.56	22.4	60.2	52.56	23.58	-23.46	52.56	52.56	52.56	59.61	52.56	52.56	-16.3	3.66	52.56	52.56	52.56	52.56	-33.48	7.54	22.94	52.56	-10.14	29.37	-19.76	11.38	-18.88	-17.16	-60.04	37.6	16.84	6.05	-6.66	42.22	52.56	52.56	52.56	33.99	52.56	9.33	52.56	13.21	52.56	-13.63	52.56	37.53	-5.51	-14.32	27.51	4.09	52.56	52.56	10.39	52.56	-17.2	4.41	-11.86	18.92	52.56	-29.36	-31.9	16.44	-17.44	52.56	53.42	-22.63	-27.64	52.56
x14	10.41	8.17	-9.75	-38.92	56.96	26.07	1.53	36.05	-1.78	-6.67	-24.09	-11.1	-2.67	43.91	-100	-25.86	13.14	29.01	-35.13	-23.15	26.85	-23.66	34.18	53.82	-7.62	-27.06	53.83	-16.61	-12.24	-16.17	-23.91	-14.48	-23.95	-11.97	18.68	-5.65	-1.74	9.35	-2.87	-37.74	-8.33	40.88	26.52	7.29	-3.93	-10.98	38.04	-26.26	47.57	-19.11	-21.86	8.23	14.31	42.27	52.43	51.83	-20.09	-21.01	-10.09	1.98	0.53	-9.95	-35.39	-58.69	41.31	-15.17	-7.51	-15.25	-15.76	23.52	-7.81	14.8	35.69	5.67	45.25	-18.23	-9.03	16.35	5.97	-19.57	18.53	58.66	-1.86	72.14	7.2	47.69	-21.33	14.99	6.62	7.71	18.48	14.3	3.11	27.42	19.04	9.7	-1.98	10.78	-37.88	-25.85
x15	7.58	60.29	-22.84	-24.04	-22.46	-13.96	16.77	-9.07	15.82	28.28	-15.83	20	-48.98	-79.41	-0.47	9.75	14.05	27.04	8.71	-43.45	13.05	2.88	-22.46	21.05	14.67	-65.53	4.12	-0.72	-0.51	-73.23	-2.66	4.89	64.03	19.78	29.14	-13.28	-14.74	-30.79	-36.73	3.22	5.59	-8.98	-11.72	35.26	-15.96	-18.96	-28.68	-13.49	13.12	-15.57	-13.57	-17.01	-34.52	22.55	-32.96	-26.87	27.83	30.46	45.02	-8.25	27.82	-6.73	-22.64	-1.46	-21.89	34.16	17.05	-2.49	43.89	10.35	-5.21	34.42	-25.29	26.07	-33.74	50.54	8.66	-29.77	-22.66	26.93	-5.13	-10.89	-39.66	1.35	70.53	30.07	3.99	20.88	-4.08	20.39	39.52	-8.96	14.68	-13.06	29.21	3.02	1.33	-6.49	48.04	-5.03
x16	46.57	46.57	52.56	46.57	46.57	52.56	46.57	21.69	52.56	7.8	46.57	46.57	52.56	-4.31	46.57	46.57	52.56	46.57	52.56	2.69	46.57	46.57	46.57	52.56	52.56	46.57	-34.9	46.57	-18.36	46.57	46.57	-1.8	46.57	-6.53	17.69	52.56	-0.4	-23.97	46.57	46.57	52.56	55.03	46.57	46.57	-3.68	-0.96	46.57	46.57	46.57	52.56	-5.99	-21.37	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	6.13	-5.99	-5.99	-5.99	-5.99	-5.99	14.33	-5.99	52.56	52.56	52.56	-5.99	52.56	24.77	52.56	12.05	52.56	-5.99	52.56	36.93	-5.99	32.54	17.26	27.02	52.56	52.56	-5.99	52.56	-5.99	14.5	-22.64	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x17	46.57	46.57	52.56	46.57	46.57	52.56	46.57	-39.14	52.56	-18.79	46.57	46.57	52.56	-18.9	46.57	46.57	52.56	46.57	52.56	-28.83	46.57	46.57	46.57	52.56	52.56	46.57	-48.51	46.57	-36.32	46.57	46.57	77.73	46.57	77.56	4.18	52.56	17.57	-17.06	46.57	46.57	52.56	4.81	46.57	46.57	-32.65	29.64	46.57	46.57	46.57	52.56	-5.99	15.94	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-9.42	-5.99	-5.99	-5.99	-5.99	-5.99	2.12	-5.99	52.56	52.56	52.56	-5.99	52.56	11.86	52.56	83.33	52.56	-5.99	52.56	-16.12	-5.99	-23.64	28.22	-16.1	52.56	52.56	-5.99	52.56	-5.99	-1.28	-11	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x18	52.56	52.56	52.56	52.56	52.56	52.56	52.56	26.69	52.56	-7.71	52.56	52.56	52.56	27.44	52.56	52.56	52.56	52.56	52.56	-41.34	52.56	52.56	52.56	52.56	52.56	52.56	19.84	52.56	-63.58	52.56	52.56	20.86	52.56	9.23	-35.12	52.56	0.23	-13.07	52.56	52.56	52.56	-10.38	52.56	52.56	-53.98	32.21	52.56	52.56	52.56	52.56	-25.46	2.28	20.96	52.56	8.1	1.36	-23.69	-6.01	-16.08	-19.84	-19.55	40.26	41.32	9.41	7.54	19.88	52.56	52.56	52.56	-17.3	52.56	-14.39	52.56	26.13	52.56	22.08	52.56	-46.14	11.54	37.99	-60.55	-12.98	52.56	52.56	-34.25	52.56	20.76	5.2	-22.48	66.37	52.56	-53.26	52.56	-7.75	-29.86	52.56	-33.5	-1.09	14.97	52.56
x19	52.56	52.56	52.56	52.56	52.56	52.56	52.56	57.61	52.56	31.44	52.56	52.56	52.56	3.93	52.56	52.56	52.56	52.56	52.56	5.82	52.56	52.56	52.56	52.56	52.56	52.56	-4.7	52.56	-12.43	52.56	52.56	6.87	52.56	0.31	-26.59	52.56	31.68	-17.03	52.56	52.56	52.56	-11.64	52.56	52.56	33.86	4.17	52.56	52.56	52.56	52.56	-12.98	41.48	-26.19	52.56	-11.46	-91.36	39.89	3.86	40.99	2.91	21.99	4.49	0.18	-23.37	-49.56	-35.65	52.56	52.56	52.56	55.38	52.56	27.23	52.56	-45.92	52.56	-7.84	52.56	35.7	-5.71	-28.3	13.65	-21.19	52.56	52.56	4.91	52.56	63.81	-8.57	-22.78	-18.44	52.56	-26.2	2.28	-40.72	-19.68	52.56	5.52	-14.37	31.53	52.56
x20	46.57	46.57	52.56	46.57	46.57	52.56	46.57	-11.72	52.56	-11.57	46.57	46.57	52.56	-34.18	46.57	46.57	52.56	46.57	52.56	25	46.57	46.57	46.57	52.56	52.56	46.57	-27.43	46.57	19.5	46.57	46.57	-3	46.57	-18.56	13.58	52.56	28.75	-4.98	46.57	46.57	52.56	16.81	46.57	46.57	4.58	1.83	46.57	46.57	46.57	52.56	-5.99	25.95	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-14.19	-5.99	-5.99	-5.99	-5.99	-5.99	-11.28	-5.99	52.56	52.56	52.56	-5.99	52.56	-6.72	52.56	-0.01	52.56	-5.99	52.56	14.97	-5.99	36.62	20.56	-3.11	52.56	52.56	-5.99	52.56	-5.99	-34.45	-27.11	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x21	-3.77	-54.15	60.47	12.95	-27.41	-40.74	10.18	-4.69	6.76	16.98	-38.5	-26.82	-69.91	69.11	36.14	-13.06	19.34	-36.89	24.22	55	-17.91	-24.92	-14.85	14.91	-17.38	14.53	-3.34	9.51	-8.79	8.61	4.86	-31.21	-27.96	-28.95	-7.96	-46.66	20.2	-15.08	-22.44	-3.14	-16.94	-31.67	36.86	-21.57	67.06	-36.04	37.62	1.83	-14.13	18.55	-37.27	16.13	22.3	-23.29	-2.61	-55.39	46.2	-21.52	-27.89	33.97	28.49	-36.97	47.95	-5.5	21.82	12.92	47.78	-18.94	17.22	10.48	45.68	24.76	-38.22	-23.44	20.66	25.19	-4.23	63.71	23.91	-17.55	-12.08	2.22	-2.94	-18.15	-27.04	-0.65	-26.48	26.91	12.01	-19.62	18.6	2.96	17.42	-29.58	-11.65	-53.24	-20.27	1.37	-25.47	59.92
x22	46.57	46.57	52.56	46.57	46.57	52.56	46.57	30.75	52.56	-28.24	46.57	46.57	52.56	-32.78	46.57	46.57	52.56	46.57	52.56	-1.42	46.57	46.57	46.57	52.56	52.56	46.57	-29.89	46.57	-9.8	46.57	46.57	6.72	46.57	20.78	-0.64	52.56	7.15	4.79	46.57	46.57	52.56	-28.79	46.57	46.57	21.3	34.97	46.57	46.57	46.57	52.56	-5.99	-44.48	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	5.82	-5.99	-5.99	-5.99	-5.99	-5.99	14.75	-5.99	52.56	52.56	52.56	-5.99	52.56	-6.65	52.56	-6.2	52.56	-5.99	52.56	32.29	-5.99	-15.65	-45.16	-9.16	52.56	52.56	-5.99	52.56	-5.99	-33.36	39.53	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x23	52.56	52.56	52.56	52.56	52.56	52.56	52.56	-8.01	52.56	-21.2	52.56	52.56	52.56	2	52.56	52.56	52.56	52.56	52.56	-42.51	52.56	52.56	52.56	52.56	52.56	52.56	-7.65	52.56	-7.95	52.56	52.56	4.84	52.56	-53.47	26.55	52.56	29.52	33.34	52.56	52.56	52.56	-17.04	52.56	52.56	17.78	58.41	52.56	52.56	52.56	52.56	-37.83	-10.62	-37.82	52.56	-31.39	14.81	46.12	0.58	34.77	26.67	14.84	70	-4.98	28.08	-78.14	-39.04	52.56	52.56	52.56	-47.22	52.56	-4.04	52.56	72.46	52.56	5.32	52.56	-26.27	-10.26	-4.84	34.29	-20.1	52.56	52.56	13.91	52.56	12.45	34.19	-7.21	-54.83	52.56	29.06	-30.71	-14.44	30.23	52.56	21.78	-30.16	21.61	52.56
x24	46.57	46.57	52.56	46.57	46.57	52.56	46.57	17.39	52.56	-55.04	46.57	46.57	52.56	35.62	46.57	46.57	52.56	46.57	52.56	-3.91	46.57	46.57	46.57	52.56	52.56	46.57	17.37	46.57	30.01	46.57	46.57	31.58	46.57	-9.16	17.43	52.56	-12.88	33.67	46.57	46.57	52.56	-45.44	46.57	46.57	-12.4	6.54	46.57	46.57	46.57	52.56	-5.99	-15.15	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	33.51	-5.99	-5.99	-5.99	-5.99	-5.99	35.94	-5.99	52.56	52.56	52.56	-5.99	52.56	-9.72	52.56	-5.22	52.56	-5.99	52.56	-13.73	-5.99	-16.66	-5.12	16	52.56	52.56	-5.99	52.56	-5.99	51.05	-1.34	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x25	46.57	46.57	52.56	46.57	46.57	52.56	46.57	11.04	52.56	-9.61	46.57	46.57	52.56	23.47	46.57	46.57	52.56	46.57	52.56	1.36	46.57	46.57	46.57	52.56	52.56	46.57	-16.96	46.57	61.82	46.57	46.57	23.76	46.57	7.83	22.66	52.56	-32.63	4.61	46.57	46.57	52.56	-57.81	46.57	46.57	11.08	-76.65	46.57	46.57	46.57	52.56	-5.99	1.36	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-7.24	-5.99	-5.99	-5.99	-5.99	-5.99	-18.98	-5.99	52.56	52.56	52.56	-5.99	52.56	-22.72	52.56	-11.28	52.56	-5.99	52.56	-12.16	-5.99	-66.6	37.26	12.11	52.56	52.56	-5.99	52.56	-5.99	-8.84	20.74	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x26	-21.71	48.04	-59.21	20.34	27.42	48.98	0.52	-23.46	19.12	-11.71	-0.56	-30.82	28.74	-39.11	17.42	-4.81	-47.32	-14.85	32.61	48.31	-10.89	-28.66	-22.57	79.86	-10.75	27.78	46.04	-15.35	-2.7	9.93	83.14	83.41	2.66	-28.25	-4.14	19.69	-53.8	-32.6	21.49	-8.91	-9.06	0.64	27.23	-16.69	10.33	26.88	56.07	-20.07	6	19.36	20.13	22.72	14.61	-38	-40.87	45.49	34.14	-19.27	-11.6	9.78	-34.28	-13.98	11.29	-21.55	1.93	11.51	-22.87	51.75	-30.46	-7.88	3.91	-19.16	10.65	0.91	-34.57	-66.66	10.64	55.71	-36.19	5.08	-31.96	4.58	7.76	-11.91	1.26	18.87	19.92	-36.84	-9.13	2.86	0.16	-46.67	-10.3	60.17	-13.72	-57.05	-17.67	-13.3	17.26	17.18
x27	46.57	46.57	52.56	46.57	46.57	52.56	46.57	12.76	52.56	-7.59	46.57	46.57	52.56	-12.71	46.57	46.57	52.56	46.57	52.56	-12.6	46.57	46.57	46.57	52.56	52.56	46.57	39.47	46.57	31.56	46.57	46.57	15	46.57	25.59	1.64	52.56	8.06	-39.22	46.57	46.57	52.56	51.35	46.57	46.57	15.86	-12.46	46.57	46.57	46.57	52.56	-5.99	52.92	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	9.78	-5.99	-5.99	-5.99	-5.99	-5.99	0.18	-5.99	52.56	52.56	52.56	-5.99	52.56	59.45	52.56	10.46	52.56	-5.99	52.56	-8.93	-5.99	2.21	-25.46	-27.54	52.56	52.56	-5.99	52.56	-5.99	-23.9	-13.16	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x28	46.57	46.57	52.56	46.57	46.57	52.56	46.57	4.59	52.56	-61.1	46.57	46.57	52.56	21.24	46.57	46.57	52.56	46.57	52.56	-9.01	46.57	46.57	46.57	52.56	52.56	46.57	7.72	46.57	-4.39	46.57	46.57	-22.85	46.57	42.79	-43.76	52.56	-8.27	28.34	46.57	46.57	52.56	20.9	46.57	46.57	-15.83	25.16	46.57	46.57	46.57	52.56	-5.99	16.98	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	40.13	-5.99	-5.99	-5.99	-5.99	-5.99	-3.2	-5.99	52.56	52.56	52.56	-5.99	52.56	31.66	52.56	-23	52.56	-5.99	52.56	-87.97	-5.99	-16.75	-5.25	-3.98	52.56	52.56	-5.99	52.56	-5.99	-60.15	10.66	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x29	46.57	46.57	52.56	46.57	46.57	52.56	46.57	34.6	52.56	8.18	46.57	46.57	52.56	47.4	46.57	46.57	52.56	46.57	52.56	-18.59	46.57	46.57	46.57	52.56	52.56	46.57	18.03	46.57	-26.62	46.57	46.57	21.35	46.57	15.31	45.83	52.56	-42.14	-2.16	46.57	46.57	52.56	-8.09	46.57	46.57	-59.37	19.77	46.57	46.57	46.57	52.56	-5.99	27.97	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	11.57	-5.99	-5.99	-5.99	-5.99	-5.99	-32.45	-5.99	52.56	52.56	52.56	-5.99	52.56	-4.71	52.56	12.86	52.56	-5.99	52.56	3.25	-5.99	22.36	-8.66	-1.89	52.56	52.56	-5.99	52.56	-5.99	-24.42	4.94	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
